drop,src,dst,instance_limit,lambda_gbps,budget_ms,feasible_nominal,feasible_dropped,cost_nominal,cost_dropped,cost_rel_change_pct
0.1,azure:southeastasia,aws:us-west-2,2,8.0,500.0,True,True,535.8861,546.32673,1.9482927435512771
0.1,azure:southeastasia,azure:brazilsouth,2,8.0,500.0,True,True,727.2746999999999,745.16373,2.459734952968947
0.1,azure:southeastasia,azure:eastus,2,8.0,500.0,True,True,456.2343000000001,486.69687,6.676957431740645
0.1,azure:southeastasia,azure:japaneast,2,8.0,500.0,True,True,250.68059999999997,302.1845400000001,20.54564254274169
0.1,azure:southeastasia,azure:westeurope,2,8.0,500.0,True,True,604.4876999999999,620.71893,2.6851216327478786
0.1,azure:southeastasia,azure:westus2,2,8.0,500.0,True,True,445.52430000000004,477.11186999999995,7.089976910350325
0.1,azure:southeastasia,gcp:asia-northeast1,2,8.0,500.0,True,True,446.913,449.2377,0.5201683549147166
0.1,azure:southeastasia,gcp:asia-southeast1,2,8.0,500.0,True,True,437.71500000000003,440.9595,0.7412357355813621
0.1,azure:southeastasia,gcp:europe-west1,2,8.0,500.0,True,True,674.0082,690.9076799999999,2.5073107419167786
0.1,azure:southeastasia,gcp:southamerica-east1,2,8.0,500.0,True,True,782.3441700000002,795.8553299999999,1.727009737926426
0.1,azure:southeastasia,gcp:us-east1,2,8.0,500.0,True,True,569.9087999999999,580.72392,1.8976931045809597
0.1,azure:southeastasia,gcp:us-west1,2,8.0,500.0,True,True,556.1568,569.6015399999999,2.417436953031935
0.1,azure:westeurope,aws:ap-northeast-1,2,8.0,500.0,True,True,497.50739999999996,512.23698,2.96067555980073
0.1,azure:westeurope,aws:ap-southeast-1,2,8.0,500.0,True,True,536.1228,557.7552,4.034971092443739
0.1,azure:westeurope,aws:eu-west-1,2,8.0,500.0,True,True,321.17400000000004,327.7926,2.060752115675602
0.1,azure:westeurope,aws:sa-east-1,2,8.0,500.0,True,True,481.70789999999994,508.81311000000005,5.626897545172109
0.1,azure:westeurope,aws:us-east-1,2,8.0,500.0,True,True,343.044,347.52959999999996,1.3075873648861303
0.1,azure:westeurope,aws:us-west-2,2,8.0,500.0,True,True,365.922,368.7138,0.7629494810369332
0.1,azure:westeurope,azure:brazilsouth,2,8.0,500.0,True,True,625.0563,642.16287,2.736804668635455
0.1,azure:westeurope,azure:eastus,2,8.0,500.0,True,True,338.346,366.94620000000003,8.452944618822162
0.1,azure:westeurope,azure:japaneast,2,8.0,500.0,True,True,600.3890999999999,605.02509,0.7721642514829312
0.1,azure:westeurope,azure:southeastasia,2,8.0,500.0,True,True,633.2588999999999,643.73751,1.654711840607391
0.1,azure:westeurope,azure:westus2,2,8.0,500.0,True,True,393.372,418.3812,6.357646197492441
0.1,azure:westeurope,gcp:asia-northeast1,2,8.0,500.0,True,True,605.0499299999999,611.160525,1.0099323538472442
0.1,azure:westeurope,gcp:asia-southeast1,2,8.0,500.0,True,True,625.5053999999998,630.9773100000001,0.8747982031810313
0.1,azure:westeurope,gcp:europe-west1,2,8.0,500.0,True,True,347.184,372.8016000000001,7.378681045209484
0.1,azure:westeurope,gcp:southamerica-east1,2,8.0,500.0,True,True,615.16215,618.0803999999999,0.4743871189083957
0.1,azure:westeurope,gcp:us-east1,2,8.0,500.0,True,True,399.18600000000015,419.65740000000017,5.12828606213645
0.1,azure:westeurope,gcp:us-west1,2,8.0,500.0,True,True,411.1739999999999,432.84869999999995,5.2714179398502905
0.1,azure:westus2,aws:ap-northeast-1,2,8.0,500.0,True,True,346.032,350.8128,1.3816063254265498
0.1,azure:westus2,aws:ap-southeast-1,2,8.0,500.0,True,True,503.0451,526.27779,4.61841095361032
0.1,azure:westus2,aws:eu-west-1,2,8.0,500.0,True,True,359.45999999999987,362.412,0.8212318477716888
0.1,azure:westus2,aws:sa-east-1,2,8.0,500.0,True,True,454.76099999999997,484.56090000000006,6.552870628747868
0.1,azure:westus2,aws:us-east-1,2,8.0,500.0,True,True,335.0700000000001,340.2990000000001,1.560569433252748
0.1,azure:westus2,aws:us-west-2,2,8.0,500.0,True,True,321.12,327.74399999999997,2.0627802690582855
0.1,azure:westus2,azure:brazilsouth,2,8.0,500.0,True,True,515.1654000000001,541.7328600000002,5.157073825221976
0.1,azure:westus2,azure:eastus,2,8.0,500.0,True,True,208.98450000000074,251.10512999999997,20.154906225102383
0.1,azure:westus2,azure:japaneast,2,8.0,500.0,True,True,346.788,370.0026,6.694176269075043
0.1,azure:westus2,azure:southeastasia,2,8.0,500.0,True,True,434.1645,462.36555000000004,6.495475793161363
0.1,azure:westus2,azure:westeurope,2,8.0,500.0,True,True,389.646,413.3997,6.0962258049614215
0.1,azure:westus2,gcp:asia-northeast1,2,8.0,500.0,True,True,488.53799999999984,501.57990000000007,2.6695773921374037
0.1,azure:westus2,gcp:asia-southeast1,2,8.0,500.0,True,True,508.57379999999995,521.9226,2.6247518059325983
0.1,azure:westus2,gcp:europe-west1,2,8.0,500.0,True,True,525.3491700000001,535.9401899999999,2.015996332496317
0.1,azure:westus2,gcp:southamerica-east1,2,8.0,500.0,True,True,554.0391000000001,563.3811,1.6861625831100857
0.1,azure:westus2,gcp:us-east1,2,8.0,500.0,True,True,338.481,342.3591,1.145736392884687
0.1,azure:westus2,gcp:us-west1,2,8.0,500.0,True,True,326.99700000000007,331.9695,1.520656152808714
0.1,gcp:asia-northeast1,aws:ap-northeast-1,2,8.0,500.0,True,True,433.62,433.62,0.0
0.1,gcp:asia-northeast1,aws:ap-southeast-1,2,8.0,500.0,True,True,433.62,437.3145,0.8520132835201341
0.1,gcp:asia-northeast1,aws:eu-west-1,2,8.0,500.0,True,True,589.2506999999999,603.4608,2.4115541992567873
0.1,gcp:asia-northeast1,aws:sa-east-1,2,8.0,500.0,True,True,612.4159799999999,628.9678799999999,2.7027217676455875
0.1,gcp:asia-northeast1,aws:us-east-1,2,8.0,500.0,True,True,543.6306,561.7521,3.3334216285838365
0.1,gcp:asia-northeast1,aws:us-west-2,2,8.0,500.0,True,True,520.9001999999999,541.2411000000001,3.9049514667109264
0.1,gcp:asia-northeast1,azure:brazilsouth,2,8.0,500.0,True,True,758.3067,766.94643,1.1393450697455245
0.1,gcp:asia-northeast1,azure:eastus,2,8.0,500.0,True,True,483.066,489.13919999999996,1.257219510377461
0.1,gcp:asia-northeast1,azure:japaneast,2,8.0,500.0,True,True,433.62,433.62,0.0
0.1,gcp:asia-northeast1,azure:southeastasia,2,8.0,500.0,True,True,436.40999999999997,439.78499999999997,0.7733553309960817
0.1,gcp:asia-northeast1,azure:westeurope,2,8.0,500.0,True,True,674.4782700000002,682.14384,1.1365184529962356
0.1,gcp:asia-northeast1,azure:westus2,2,8.0,500.0,True,True,439.9038,445.56479999999993,1.2868722661636351
0.1,gcp:asia-northeast1,gcp:asia-southeast1,2,8.0,500.0,True,True,63.09450000000071,115.13700000000011,82.48341773054517
0.1,gcp:asia-northeast1,gcp:europe-west1,2,8.0,500.0,True,True,602.4339000000001,614.4911549999998,2.001423724660865
0.1,gcp:asia-northeast1,gcp:southamerica-east1,2,8.0,500.0,True,True,642.38868,654.2955,1.8535226990612483
0.1,gcp:asia-northeast1,gcp:us-east1,2,8.0,500.0,True,True,322.4358,334.54052999999993,3.7541519893262354
0.1,gcp:asia-northeast1,gcp:us-west1,2,8.0,500.0,True,True,296.9847,311.52834,4.897100759736121
0.1,gcp:asia-southeast1,aws:ap-northeast-1,2,8.0,500.0,True,True,449.7291,451.7721,0.454273472630525
0.1,gcp:asia-southeast1,aws:ap-southeast-1,2,8.0,500.0,True,True,433.62,433.62,0.0
0.1,gcp:asia-southeast1,aws:eu-west-1,2,8.0,500.0,True,True,627.31953,639.8905499999997,2.003926133146173
0.1,gcp:asia-southeast1,aws:sa-east-1,2,8.0,500.0,True,True,647.7084000000001,663.37551,2.418852372456473
0.1,gcp:asia-southeast1,aws:us-east-1,2,8.0,500.0,True,True,566.16453,584.84547,3.2995602885966675
0.1,gcp:asia-southeast1,aws:us-west-2,2,8.0,500.0,True,True,543.43413,564.3892800000001,3.8560607152149458
0.1,gcp:asia-southeast1,azure:brazilsouth,2,8.0,500.0,True,True,777.3633,785.8986299999999,1.0979846874685144
0.1,gcp:asia-southeast1,azure:eastus,2,8.0,500.0,True,True,510.81479999999993,516.9924,1.209361984030228
0.1,gcp:asia-southeast1,azure:japaneast,2,8.0,500.0,True,True,447.6501,449.901,0.5028257560983459
0.1,gcp:asia-southeast1,azure:southeastasia,2,8.0,500.0,True,True,433.62,433.62,0.0
0.1,gcp:asia-southeast1,azure:westeurope,2,8.0,500.0,True,True,678.8384100000001,687.7820699999999,1.3174946892000108
0.1,gcp:asia-southeast1,azure:westus2,2,8.0,500.0,True,True,463.7636999999999,468.3618,0.9914747531986878
