max_hops,src,dst,instance_limit,lambda_gbps,latency_budget_ms,feasible,cost_total_hr,batch_size_mb,num_candidate_paths,num_active_paths,solve_time_s
2,aws:us-east-1,gcp:europe-west1,2,10.0,200.0,True,549.5760000000001,2.1860040541447567,257.0,5,0.9284497500000057
2,aws:us-east-1,gcp:europe-west1,2,10.0,500.0,True,549.576,8.760122807524496,257.0,5,0.868804499999996
2,aws:us-east-1,gcp:europe-west1,2,15.0,200.0,False,,,,0,0.861501459000003
2,aws:us-east-1,gcp:europe-west1,2,15.0,500.0,False,,,,0,0.8584503749999968
2,aws:us-east-1,gcp:europe-west1,4,5.0,200.0,True,213.336,7.747270169409312,257.0,2,0.9007951669999983
2,aws:us-east-1,gcp:europe-west1,4,5.0,500.0,True,213.336,22.78370059460623,257.0,2,0.8762831250000005
2,aws:us-east-1,gcp:europe-west1,4,10.0,200.0,True,461.376,8.070889831879956,257.0,2,0.8733706249999997
2,aws:us-east-1,gcp:europe-west1,4,10.0,500.0,True,461.376,23.735423373730754,257.0,2,0.8719891249999989
2,aws:us-east-1,gcp:europe-west1,4,15.0,200.0,True,736.1640000000001,2.1988534083024938,257.0,4,0.8903871250000037
2,aws:us-east-1,gcp:europe-west1,4,15.0,500.0,True,736.1640000000001,8.811614898861531,257.0,4,0.868015542000002
2,gcp:asia-northeast1,azure:eastus,1,5.0,200.0,True,324.2970000000001,6.403205827746348,257.0,3,0.8675210410000034
2,gcp:asia-northeast1,azure:eastus,1,5.0,500.0,True,322.04295,3.3140527348810593,257.0,4,0.8641116249999996
2,gcp:asia-northeast1,azure:eastus,1,10.0,200.0,False,,,,0,0.8601932079999983
2,gcp:asia-northeast1,azure:eastus,1,10.0,500.0,False,,,,0,0.8789164579999991
2,gcp:asia-northeast1,azure:eastus,1,15.0,200.0,False,,,,0,0.9939043339999998
2,gcp:asia-northeast1,azure:eastus,1,15.0,500.0,False,,,,0,1.2446507079999947
2,gcp:asia-northeast1,azure:eastus,2,5.0,200.0,True,293.52600000000007,6.403205827746348,257.0,2,0.9064135839999992
2,gcp:asia-northeast1,azure:eastus,2,5.0,500.0,True,293.52600000000007,22.516629040630296,257.0,2,0.8918493749999996
2,gcp:asia-northeast1,azure:eastus,2,10.0,200.0,True,647.5140000000001,6.690699348249023,257.0,3,1.024090667000003
2,gcp:asia-northeast1,azure:eastus,2,10.0,500.0,True,643.0059000000001,3.339281401612052,257.0,4,0.9128150829999981
2,gcp:asia-northeast1,azure:eastus,2,15.0,200.0,False,,,,0,0.8812844999999996
2,gcp:asia-northeast1,azure:eastus,2,15.0,500.0,False,,,,0,0.8828064579999975
2,gcp:asia-northeast1,azure:eastus,4,5.0,200.0,True,272.7,7.534609411399618,257.0,1,1.6223832500000057
2,gcp:asia-northeast1,azure:eastus,4,5.0,500.0,True,272.7,26.651514210281434,257.0,1,2.427416749999999
2,gcp:asia-northeast1,azure:eastus,4,10.0,200.0,True,586.5120000000001,6.690699348249023,257.0,2,1.1991979590000028
2,gcp:asia-northeast1,azure:eastus,4,10.0,500.0,True,586.5120000000001,23.52758903893195,257.0,2,1.8513980829999994
2,gcp:asia-northeast1,azure:eastus,4,15.0,200.0,True,902.5920000000001,6.792354570149115,257.0,2,2.0459727090000044
2,gcp:asia-northeast1,azure:eastus,4,15.0,500.0,True,902.5920000000001,23.88505574906783,257.0,2,1.4789122919999969
2,azure:japaneast,gcp:us-west1,1,5.0,200.0,True,343.91429999999997,1.8015288712931188,257.0,6,1.0437135410000025
2,azure:japaneast,gcp:us-west1,1,5.0,500.0,True,343.72529999999995,2.568467068749648,257.0,7,0.9131821670000022
2,azure:japaneast,gcp:us-west1,1,10.0,200.0,True,801.1817999999998,1.8331446239678897,257.0,10,0.8858782500000046
2,azure:japaneast,gcp:us-west1,1,10.0,500.0,True,791.055,2.2121399613423094,257.0,12,1.1486765000000076
2,azure:japaneast,gcp:us-west1,1,15.0,200.0,True,1367.86815,1.3896461633197887,257.0,17,1.1618888330000061
2,azure:japaneast,gcp:us-west1,1,15.0,500.0,True,1326.9154500000002,1.0585361974290457,257.0,28,1.6510840419999937
2,azure:japaneast,gcp:us-west1,2,5.0,200.0,True,296.32860000000005,1.8015288712931188,257.0,4,0.9346261670000047
